nombre,vector1,vector2,vector3,vector4,vector5,vector6,vector7,vector8,vector9,vector10,nombre2
58:AM1380,-0.2402,0.185,0.1701,0.8418,-0.0982,0.0071,-0.1264,0.1409,-0.063,-0.0211,Totonaca
59:AM1386,-0.1036,0.0437,-0.0077,-0.0878,-0.2158,0.1551,0.2298,0.0167,0.0817,-0.1164,Totonaca
60:AM1391,-0.1616,0.0949,0.1493,-0.0656,-0.0913,-0.1477,-0.0148,0.0744,0.0749,-0.0948,Totonaca
61:AM1397,-0.2001,0.3134,-0.3068,-0.2668,-0.1558,0.017,0.0302,0.4144,0.0429,-0.139,Totonaca
69:AM1559,-0.1092,0.0488,-0.1402,0.0381,0.5702,-0.0074,-0.0418,0.0283,0.1816,-0.0139,Nahuatl
70:AM1561,-0.102,-0.0566,0.026,-0.0077,0.2874,0.051,0.0505,0.0172,0.1309,0.0825,Nahuatl
158:AM086,-0.108,0.0653,-0.0301,-0.0954,-0.0879,-0.0648,0.0714,-0.0387,0.1625,0.0951,Totonaca
180:AM064,-0.0873,-0.0459,0.0366,-0.0784,0.1119,0.162,0.0677,0.5038,-0.2927,0.3626,Nahuatl
189:AM056,-0.0058,-0.236,0.1046,-0.0768,-0.092,0.5603,-0.6101,-0.0664,-0.0438,0.028,Nahuatl
68:AM1554,-0.0946,-0.0087,-0.0188,0.0539,0.4794,-0.0592,-0.1112,-0.0176,0.2359,0.0376,AM1554
